post.date	post.location	post.dept	post.trans	post.views	post.url	city	region	bribe.paid
1	November 03 2015	Dharmapuri, Tamil Nadu	Municipal Services	Birth Certificate	10 	<pointer: 0x0000000005969720>	Dharmapuri	Nadu	6000
2	November 03 2015	Jhunjhunun, Rajasthan	Others	Others	29 	<pointer: 0x0000000017cd8360>	Jhunjhunun	Rajasthan	100
3	November 03 2015	Achhnera, Uttar Pradesh	Others	Others	30 	<pointer: 0x0000000014e2c170>	Achhnera	Pradesh	10
4	November 03 2015	, 			39 	<pointer: 0x00000000163e6060>			1358
5	November 03 2015	Nellore, Andhra Pradesh	Municipal Services	Birth Certificate	42 	<pointer: 0x00000000166422e0>	Nellore	Pradesh	500
6	November 03 2015	Abohar, Punjab	Municipal Services	Birth Certificate	43 	<pointer: 0x0000000005e6acf0>	Abohar	Punjab	788
7	November 03 2015	Bangalore, Karnataka	Others	Others	51 	<pointer: 0x0000000014ec2800>	Bangalore	Karnataka	NA
8	November 03 2015	New Delhi, Delhi	Education	School or College Related Activities	57 	<pointer: 0x000000001762cbe0>	New	Delhi	NA
9	November 03 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	47 	<pointer: 0x0000000017c4be70>	Abhayapuri	Assam	20
10	November 03 2015	Nagpur, Maharashtra	Stamps and Registration	Marriage Certificate	61 	<pointer: 0x0000000017269b80>	Nagpur	Maharashtra	15000
11	November 03 2015	Solapur, Maharashtra	Municipal Services	Birth Certificate	50 	<pointer: 0x0000000015c1d170>	Solapur	Maharashtra	111
12	November 03 2015	Almora, Uttarakhand	Municipal Services	Birth Certificate	38 	<pointer: 0x0000000017841060>	Almora	Uttarakhand	344
13	November 03 2015	Bangalore, Karnataka	Water and Sewage	Water Connection under Sajala	36 	<pointer: 0x000000001654e460>	Bangalore	Karnataka	NA
14	November 03 2015	Abohar, Punjab	Municipal Services	Birth Certificate	34 	<pointer: 0x0000000016eb3570>	Abohar	Punjab	111
15	November 03 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	34 	<pointer: 0x00000000151cf4e0>	Mumbai	Maharashtra	1
16	November 03 2015	Thane, Maharashtra	Police	Filing FIR	45 	<pointer: 0x00000000161e1e70>	Thane	Maharashtra	5000
17	November 03 2015	Lucknow, Uttar Pradesh	Municipal Services	Birth Certificate	35 	<pointer: 0x00000000155118e0>	Lucknow	Pradesh	500
18	November 03 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	40 	<pointer: 0x00000000168a90f0>	Mumbai	Maharashtra	100
19	November 03 2015	Hazaribagh, Jharkhand	Police	Traffic Violations	55 	<pointer: 0x00000000171950e0>	Hazaribagh	Jharkhand	1000
